,label,lang,train,True or False
0,__label__tot,en,__label__tot,True
1,__label__trung_binh,vi,__label__trung_binh,True
2,__label__xuat_sac,en,__label__xuat_sac,True
3,__label__kem,vi,__label__kem,True
4,__label__tot,en,__label__tot,True
5,__label__xuat_sac,en,__label__xuat_sac,True
6,__label__tot,en,__label__tot,True
7,__label__xuat_sac,en,__label__tot,False
8,__label__xuat_sac,es,__label__xuat_sac,True
9,__label__xuat_sac,vi,__label__tot,False
10,__label__kem,vi,__label__kem,True
11,__label__tot,en,__label__tot,True
12,__label__trung_binh,ko,__label__trung_binh,True
13,__label__xuat_sac,it,__label__xuat_sac,True
14,__label__tot,en,__label__tot,True
15,__label__tot,vi,__label__tot,True
16,__label__tot,en,__label__tot,True
17,__label__xuat_sac,fr,__label__xuat_sac,True
18,__label__tot,sv,__label__tot,True
19,__label__tot,de,__label__tot,True
20,__label__xuat_sac,de,__label__xuat_sac,True
21,__label__tot,pt,__label__tot,True
22,__label__xuat_sac,de,__label__xuat_sac,True
23,__label__tot,vi,__label__tot,True
24,__label__kem,vi,__label__kem,True
25,__label__tot,en,__label__tot,True
26,__label__tot,en,__label__tot,True
27,__label__xuat_sac,en,__label__tot,False
28,__label__rat_kem,vi,__label__rat_kem,True
29,__label__xuat_sac,vi,__label__xuat_sac,True
30,__label__kem,vi,__label__kem,True
31,__label__xuat_sac,en,__label__xuat_sac,True
32,__label__tot,vi,__label__tot,True
33,__label__tot,en,__label__tot,True
34,__label__tot,cs,__label__tot,True
35,__label__kem,en,__label__kem,True
36,__label__trung_binh,fr,__label__trung_binh,True
37,__label__tot,de,__label__tot,True
38,__label__xuat_sac,de,__label__xuat_sac,True
39,__label__xuat_sac,de,__label__xuat_sac,True
40,__label__tot,es,__label__tot,True
41,__label__tot,fr,__label__tot,True
42,__label__xuat_sac,fr,__label__xuat_sac,True
43,__label__trung_binh,fr,__label__trung_binh,True
44,__label__xuat_sac,en,__label__xuat_sac,True
45,__label__xuat_sac,en,__label__tot,False
46,__label__tot,vi,__label__tot,True
47,__label__tot,es,__label__tot,True
48,__label__xuat_sac,en,__label__xuat_sac,True
49,__label__tot,pt,__label__tot,True
50,__label__xuat_sac,en,__label__xuat_sac,True
51,__label__tot,en,__label__xuat_sac,False
52,__label__xuat_sac,en,__label__xuat_sac,True
53,__label__tot,en,__label__tot,True
54,__label__xuat_sac,vi,__label__xuat_sac,True
55,__label__xuat_sac,en,__label__xuat_sac,True
56,__label__tot,vi,__label__tot,True
57,__label__trung_binh,vi,__label__trung_binh,True
58,__label__kem,vi,__label__kem,True
59,__label__trung_binh,en,__label__trung_binh,True
60,__label__xuat_sac,en,__label__xuat_sac,True
61,__label__tot,en,__label__tot,True
62,__label__tot,es,__label__tot,True
63,__label__tot,en,__label__tot,True
64,__label__tot,en,__label__tot,True
65,__label__xuat_sac,en,__label__xuat_sac,True
66,__label__xuat_sac,en,__label__xuat_sac,True
67,__label__trung_binh,en,__label__trung_binh,True
